Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
gleki,,,,,,liweva ,,,,,,,
gletu,,,,,,tapuki ,,,,,,,
grusi,,,,,,kukihu ,,,,,,,
gunma,,,VT,,,zeluwi ,,,,,,,
guska'u,,,,,,samoza ,,,,,,,
gustci,,,VI,,,guhaqu ,,,,,,,
gusyzi'u,,,,,,togafa ,,,,,,,
ietnu,,,VI,,,tunabe ,,,,,,,
iitfa,,,,,,maruhe ,,,,,,,
inxo,,,VT,,,heqida ,,,,,,,
ja,,,COO,,,zarowi ,,,,,,,
"jbetei,",,,,,,kiweko ➋,,,,,,,
je,,,COO,,,talage ,,,,,,,
jecta,,,VT,,,gavihu ,,,,,,,
jetfrica,,,VT,,,qolevo ,,,,,,,
jetlai,,,VT,,,numato 21,,,,,,,
jetsmi,,,VT,,,ceteco 21,,,,,,,
jetycipra,,,,,,yuhuvo ,,,,,,,
jetydu’i,,,VT,,,tuyafu ,,,,,,,
je’e,,,VOC,,,havahe ,,,,,,,
jibri,,,VT,,,joyiga 21,,,,,,,
jibykai,,,VT,,,capici ,,,,,,,
jidge,,,VT,,,jotete ,,,,,,,
jijnu,,,,,,pusamo ,,,,,,,
jikca,,,,,,sitofa ,,,,,,,
jikce’u,,,VI,,,maropa ,,,,,,,
jinmrtitani,,,VI,,,darome ,,,,,,,
jmive/1,,,,,,yogije ,,,,,,,
jorne,,,VD,,,legice ,,,,,,,
jo’u,,,NCOO,,,nawulu ,,,,,,,
juknara,,,,,,puguda ,,,,,,,
jundi,,,VT,,,kiwoda ,,,,,,,
jutlei,,,,,,veqogi ,,,,,,,
kaicfa,,,VT,,,niviva ,,,,,,,
kaimre,,,,,,kovowe ,,,,,,,
kaipti,,,VT,,,zayeku ,,,,,,,
kampu,,,VT,,,fahovo 21,,,,,,,
kanpygei,,,,,,pogabe ,,,,,,,
kanxe,,,VD,,,kipone ,,,,,,,
katna,,,,,,repuji ,,,,,,,
kelci,,,,,,tugaqo ,,,,,,,
ki'inmau,,,VD,,,marafu ,,,,,,,
ki'u,,,,,,jifusa ,,,,,,,
kickosta,,,,,,kayono ,,,,,,,
ki’inmoi,,,,,,tunije ,,,,,,,
ki’irpoi,,,,,,qejesu ,,,,,,,
kontu'u,,,VI,,,dekebo ,,,,,,,
krinu,,,,,,jifusa ,,,,,,,
krotalo,,,,,,piqago ,,,,,,,
kruca,,,VD,,,tirime ,,,,,,,
labyxu'e,,,VI,,,minequ ,,,,,,,
laldybi'a,,,,,,yorero ,,,,,,,
lifnei,,,VT,,,tawale ,,,,,,,
lifri,,,VT,,,futape ,,,,,,,
limna,,,,,,hugupi ,,,,,,,
mapni,,,VI,,,peqivo ,,,,,,,
mapti,,,,,,fisiza ,,,,,,,
me,,,COP,,,digowi 1X,,,,,,,
menli,,,VT,,,qizawe 21,,,,,,,
menre,,,VT,,,digowi ,,,,,,,
mensi,,,,,,lirevu ,,,,,,,
mi:PRO,,,,,,lukayu ,,,,,,,
mibypre,,,,,,lukayu ,,,,,,,
minji,,,,,,wimuju ,,,,,,,
mintu,,,,,,hikutu ,,,,,,,
mi’a,,,PRO,,,qumuse ,,,,,,,
mi’o,,,PRO,,,teleyo ,,,,,,,
morsi,,,VI,,,hutavu ,,,,,,,
mo’u,,,ASP,,,kiweza ,,,,,,,
mrobo'u,,,,,,mipaca ,,,,,,,
mu'umgu,,,,,,yekana ,,,,,,,
nardu’o,,,VT,,,yeyepa ,,,,,,,
narju,,,,,,jigeho ,,,,,,,
narkai,,,VT,,,letejo ,,,,,,,
narkau,,,VT,,,yubivo 21,,,,,,,
nelci,,,,,,payito ,,,,,,,
ni,,,PRT,,,buwiqo ,,,,,,,
nildumau,,,,,,sazoqu ,,,,,,,
nildumu,,,VT,,,buwiqo ,,,,,,,
nitcu,,,VD,,,ciquto ,,,,,,,
nonydza,,,VT,,,guvoga ,,,,,,,
nukni,,,,,,dapeno ,,,,,,,
nundumu,,,VT,,,wogika ,,,,,,,
nupre,,,,,,qemeso ,,,,,,,
pagbu,,,VT,,,dibere ,,,,,,,
pagzu'e,,,,,,gutime ,,,,,,,
pampe’o,,,,,,carabo ,,,,,,,
panzi,,,VT,,,nepaka 21,,,,,,,
pavmei,,,,,,wehuke ,,,,,,,
pavyseljirna,,,,,,zemama ,,,,,,,
pelxu,,,,,,putovo ,,,,,,,
pendo,,,,,,ciruge ,,,,,,,
penka,,,VI,,,minequ ,,,,,,,
pensi,,,VT,,,wibube ,,,,,,,
pilka,,,,,,zihuqu ,,,,,,,
pilno,,,,,,hofago ,,,,,,,
pipnrpiano,,,,,,pepiyi ,,,,,,,
plixau,,,,,,zayote ,,,,,,,
posystizu’e,,,,,,latusu ,,,,,,,
praci,,,VT,,,qepela ,,,,,,,
prami,,,,,,motuwa ,,,,,,,
prenu,,,,,,jagoce ,,,,,,,
prugei,,,,,,pogabe ,,,,,,,
prula'i,,,,,,nesida ,,,,,,,
pruni,,,,,,mehisu ,,,,,,,
purci,,,VT,,,kepipe ,,,,,,,
pu’o,,,ASP,,,kuyoni ,,,,,,,
pu’ozi,,,ASP,,,pucoyu ,,,,,,,
pu’urci,,,,,,rukiqe ,,,,,,,
rai'a,,,,,,niwiku ,,,,,,,
ranji,,,,,,sezequ ,,,,,,,
raunka,,,VT,,,gevino ,,,,,,,
remna,,,,,,wayami ,,,,,,,
retyju'a,,,,,,putive ,,,,,,,
rirci,,,VD,,,zidopu 132,,,,,,,
rirni,,,,,,yoqazi ,,,,,,,
ri’anzu,,,VT,,,wituke ,,,,,,,
roldza,,,VT,,,konuza ,,,,,,,
rolpaki,,,,,,qayeri ,,,,,,,
rolsuki,,,,,,qayowu ,,,,,,,
rutni,,,,,,sehive ,,,,,,,
rutni/1,,,,,,buyado ,,,,,,,
sakli,,,,,,bigujo ,,,,,,,
"sance,",,,,,,zimulu ➋,,,,,,,
sanji,,,,,,yicane ,,,,,,,
sarcu,,,VT,,,nugifu ,,,,,,,
sedycro,,,,,,hefuwe ,,,,,,,
sedykre,,,,,,hofaji ,,,,,,,
senci,,,,,,yobezi ,,,,,,,
senva,,,VT,,,supice ,,,,,,,
sfasimuli,,,,,,vumehe ,,,,,,,
sfataba,,,,,,pagaso ,,,,,,,
sfofa,,,,,,giroye ,,,,,,,
sidju,,,,,,juhebi ,,,,,,,
simsmuni'i,,,,,,posone ,,,,,,,
simturni'i,,,,,,tulemu ,,,,,,,
simxu,,,VT,,,josuma ,,,,,,,
sipna,,,,,,sevudo ,,,,,,,
ska'ai,,,,,,dumobe ,,,,,,,
skai’i,,,VD,,,golapu ,,,,,,,
skicu,,,,,,rafika ,,,,,,,
slabu,,,,,,rosufo ,,,,,,,
"slabu,",,,,,,ciboya ➋,,,,,,,
smaka,,,,,,bonuve ,,,,,,,
smujmi,,,VT,,,cimana ,,,,,,,
smuni'i,,,,,,rikihe ,,,,,,,
snameva,,,,,,wupuwa ,,,,,,,
snime,,,VI,,,ladata ,,,,,,,
snipa,,,,,,gefaba ,,,,,,,
spuda,,,,,,kuhequ ,,,,,,,
srai'a,,,,,,niwiku ,,,,,,,
srana,,,VT,,,gocika ,,,,,,,
stali,,,,,,cihavi ,,,,,,,
stati,,,VT,,,jorapa ,,,,,,,
stidi,,,VD,,,neqima 132,,,,,,,
stizu,,,,,,zunoko ,,,,,,,
suzdza,,,VT,,,saruyo ,,,,,,,
ta,,,PRO,,,fiyuje ,,,,,,,
tadni,,,,,,buwabo ,,,,,,,
tcidu,,,VD,,,caqaye 132,,,,,,,
tembalvi,,,VD,,,tehuwi 321,,,,,,,
tempru,,,VD,,,tehuwi 231,,,,,,,
temymoi,,,V3T,,,davedo 1342,,,,,,,
tende,,,,,,qowahi ,,,,,,,
tepsne,,,,,,kahabi ,,,,,,,
terpa,,,VT,,,dumuku ,,,,,,,
ti,,,PRO,,,zuzuyi ,,,,,,,
tifmuza,,,VI,,,tiragu ,,,,,,,
tirse,,,VI,,,saneka ,,,,,,,
ti’oi,,,D,,,gatabi ,,,,,,,
to'e,,,PRT,,,becuca ,,,,,,,
tolcfa,,,VI,,,mosegu ,,,,,,,
tolckire,,,,,,dawaji ,,,,,,,
tolfatci,,,,,,maruhe ,,,,,,,
tolkau,,,VT,,,lobuvi 21,,,,,,,
traii,,,VD,,,peleho ,,,,,,,
troci,,,VD,,,dopoja 132,,,,,,,
tsauai,,,,,,wiliku ,,,,,,,
tu,,,PRO,,,wafajo ,,,,,,,
tu'ocpa,,,,,,saloti ,,,,,,,
tunba,,,,,,petiwi ,,,,,,,
tunka,,,VI,,,muyulo ,,,,,,,
tunlo,,,,,,dumubo ,,,,,,,
turni'i,,,,,,limubi ,,,,,,,
ue,,,INTJ,,,zijaki ,,,,,,,
ui,,,INTJ,,,fiyezu ,,,,,,,
unma,,,,,,zineji ,,,,,,,
urmi,,,VT,,,funeha ,,,,,,,
usni,,,,,,kayayu ,,,,,,,
utce/1,,,,,,qoyuga ,,,,,,,
vecnu,,,1423,,,mevipo ,,,,,,,
vilcarbi’e,,,VI,,,rekomo ,,,,,,,
vimcu,,,V3T,,,qiseya 1324,,,,,,,
voksa,,,VT,,,vokeli 21,,,,,,,
vrusi,,,,,,revenu ,,,,,,,
xabju,,,,,,jawawe ,,,,,,,
xadja’i,,,,,,cipaso ,,,,,,,
xadypau,,,,,,rekewa ,,,,,,,
xanbe’u,,,,,,legota ,,,,,,,
xanyni’a,,,,,,legota ,,,,,,,
