Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
e spua ckuil,,,VT,,,rameva ,,,,,,,
e spua cmuel,,,VI,,,detume ,,,,,,,
e stan sa,,,VT,,,geceqa ,,,,,,,
e tari pure,,,VT,,,nenura ,,,,,,,
e tcu zoli,,,VT,,,fadota ,,,,,,,
e tian katmi,,,VT_P1,,,pocufu ,,,,,,,
e tian sa,,,VT,,,qayiho ,,,,,,,
e tian tsau,,,VT,,,penome 21,,,,,,,
e toro zlier,,,VI,,,fiyovu ,,,,,,,
e toro zlior,,,VI,,,nufawi ,,,,,,,
e treun kirun,,,VI,,,yidima ,,,,,,,
e treun zlier,,,VI,,,mibuyi ,,,,,,,
e treun zlior,,,VI,,,dupaki ,,,,,,,
e tsae ban,,,VI,,,noraji ,,,,,,,
e u'uzdolar sfia,,,VUA,,,lumowa ,,,,,,,
e u'uzdolar sfia,,,VT,,,toqomu ,,,,,,,
e uafrikan ban,,,VI,,,gukanu ,,,,,,,
e uaotearoa stan,,,VI,,,ziwofa ,,,,,,,
e uaudolar sfia,,,VUA,,,bucunu ,,,,,,,
e uaudolar sfia,,,VT,,,jozejo ,,,,,,,
e ubitkoin sfia,,,VUA,,,qoweko ,,,,,,,
e ubitkoin sfia,,,VT,,,kajefo ,,,,,,,
e udjonguo ban,,,VI,,,fugaka ,,,,,,,
e udjonguo stan,,,VI,,,yuhuvi ,,,,,,,
e udoitce ban,,,VI,,,dafana ,,,,,,,
e udoitce stan,,,VI,,,gobite ,,,,,,,
e ufranse ban,,,VI,,,cireya ,,,,,,,
e ufranse stan,,,VI,,,deligi ,,,,,,,
e uhangu ban,,,VI,,,yaraye ,,,,,,,
e uhangu stan,,,VI,,,fawizu ,,,,,,,
e uien sfia,,,VUA,,,nereji ,,,,,,,
e uien sfia,,,VT,,,hopohi ,,,,,,,
e uinglic ban,,,VI,,,gefiqo ,,,,,,,
e uiuan sfia,,,VUA,,,fiwiwi ,,,,,,,
e uiuan sfia,,,VT,,,kejenu ,,,,,,,
