akhuili,V_beu,bequso 
alsate,V_beu_sau,kagiko 1
donsu,V_kao_beu_dio,jubaku 132
dralu,V_beu,zimoke 
draraa,V_beu,hevovo 
mi,PRO,lukayu 
sonli,V_kao,sevudo 
titci,V_kao_beu,qayiho 
trati,V_kao_pou_beu,dopoja 132
"tsani,",,yobezi 1/kao
tu,PRO,yilawu 
