Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
కంప్యూటర్,,,N,,,futeyu ,,,,,,,
గణనయంత్రం,,,N,,,futeyu ,,,,,,,
పక్క,,,N,,,dufiqa ,,,,,,,
పెరుగు,,,N,,,cufogo ,,,,,,,
బల్ల,,,N,,,yohaye ,,,,,,,
మేజా,,,N,,,yohaye ,,,,,,,
