"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"kalau",2,"Colloquial","Subr",,,,"when",,,,,,
"kali",1,,"N",,,,"occurrence, “time” (in counting)",,,,,,
"kali",2,,"Coo",,,,"times (math)",,,,,,
"kali",3,,"V",,,,"multiply (math)",,,,,,
"kalian",,,,,,,,,,,,,
"kami",,,,,,,,,,,,,
"kamu",,,,,,,,,,,,,
"kan",,,,,,,,,,,,,
"karena",,,,,,,,,,,,,
"kasih",,,,,,,,,,,,,
"katakan",,,,,,,,,,,,,
"kau",,,,,,,,,,,,,
"ke",,,"P",,,,"to",,,,,,
"ke",,,"V",,"Tr","fewabo","go",,,,,,
"kecil",,,,,,,,,,,,,
"keluar",,,,,,,,,,,,,
"kembali",,,,,,,,,,,,,
"kemudian",,,,,,,,,,,,,
"kenapa",,,,,,,,,,,,,
"ketika",,,"Subr",,,,"when",,,,,,
"kita",,,"Pro",,,,,,,,,,
"kompor",,,"N",,,"tagowu ",,,,,,,
"komputer",,,"N",,,"futeyu ",,,,,,,
"ku",,,,,,,,,,,,,
"kucing",,,"N",,,"fufuki ",,,,,,,
"kuda",,,"N",,,"qibawe ",,,,,,,
"kurasa",,,,,,,,,,,,,
"kursi",,,"N",,,"zunoko ",,,,,,,
"lagi",1,,"AV",,,,"again, anew",,,,,,
"lagi",2,,"AV",,,,"always",,,,,,
"lagi",3,,"AV",,,,"back and forth",,,,,,
"lagi",4,"Colloquial","AV",,,,"more",,,,,,
"lagi",5,,"AV",,,,"still, further",,,,,,
"lain",1,,"AN",,,,"another",,,,,,
"lain",2,,"AN",,,,"different, distinct",,,,,,
"lain",3,,"AN",,,,"except, unless",,,,,,
"lakukan",1,,"V",,,,"do something",,,,,,
"lalu",1,,"AN",,,,"in the past",,,,,,
"lalu",2,,"AN",,,,"last, most recent",,,,,,
"lalu",3,,"AN",,,,"done, finished",,,,,,
"lama",,,,,,,,,,,,,
"lebah",1,,"N",,,"zayami ",,,,,,,
"lebih",,,,,,,,,,,,,
"lihat",1,,"V",,,"liwate","see",,,,,,
"lihat",2,,"V",,,"zapiyo","see",,,,,,
"lilin",1,,"N",,,"mobupa ",,,,,,,
"lilin lebah",1,,"N",,,"tamoya ",,,,,,,
"luar",2,,"AN",,,,"external",,,,,,
"luar",3,,"AN",,,,"foreign",,,,,,
"luar",1,,"N",,,,"outside",,,,,,
"lumba-lumba",1,,"N",,,"defuyi ",,,,,,,
"maaf",1,,"Intj",,,,"sorry",,,,,,
"maaf",2,,"Intj",,,,"pardon",,,,,,
"maaf",3,,"N",,,,"apology",,,,,,
"madu",1,,"N",,,"wilawi ",,,,,,,
"makan",1,,"V",,,"qayiho","eat",,,,,,
"makan",2,,"V",,,,"consume, use up",,,,,,
"makan",3,,"V",,,,"attack, kill (chess)",,,,,,
"maksudku",,,,,,,,,,,,,
"malam",1,,"N",,,"tamoya ",,,,,,,
"mana",1,,"Pro",,,,"where",,,,,,
"mana",2,,"AV",,,,"where",,,,,,
"mana",3,,"Pro",,,,"which",,,,,,
"mana",4,,"AV",,,,"which",,,,,,
"manuk",1,"Dialectal","N",,,"hiwufo","chicken",,,,,,
"manuk",1,"Dialectal","N",,,"daliwe","bird",,,,,,
"mari",1,,"V",,,,"come here",,,,,,
"mari",2,,"V",,"Subjectless",,"let’s",,,,,,
"mari",3,,"Intj",,,,"come on!",,,,,,
"masalah",1,,"N",,,,"problem",,,,,,
"masih",,,,,,,,,,,,,
"masuk",,,,,,,,,,,,,
"mati",,,,,,,,,,,,,
"mau",,,,,,,,,,,,,
"meja",1,,"N",,,"yohaye ",,,,,,,
"melakukan",,,,,,,,,,,,,
"melakukannya",,,,,,,,,,,,,
"membawa",,,,,,,,,,,,,
"membuat",,,,,,,,,,,,,
"membunuh",,,,,,,,,,,,,
"memiliki",,,,,,,,,,,,,
"memulai",1,,"V",,,,"make start",,,,,,
"mencari",,,,,,,,,,,,,
"mencoba",,,,,,,,,,,,,
"mendapatkan",,,,,,,,,,,,,
"menemukan",,,,,,,,,,,,,
"mengambil",,,,,,,,,,,,,
"mengapa",,,,,,,,,,,,,
"mengatakan",,,,,,,,,,,,,
"menjadi",,,"P",,,,"transforming into",,,,,,
"merasa",,,,,,,,,,,,,
"mereka",,,,,,,,,,,,,
"mulai",2,,"P",,,,"starting",,,,,,
"mulai",1,"Colloquial","V",,,,"make start",,,,,,
"mungkin",,,,,,,,,,,,,
"oh",1,,"Intj",,,,,,,,,,
"oké",1,,"Intj",,,,"I acknowlege",,,,,,
"oké",2,,"Intj",,,,"I accept",,,,,,
"oké",3,,"V",,,,"acknowlege",,,,,,
"oké",4,,"V",,,,"accept",,,,,,
"olèh",1,,"P",,,,"by (in passive construction)",,,,,,
"olèh",2,,"P",,,,"due to",,,,,,
"orang",1,,"N",,"RedupPL","wayami","human being",,,,,,
"orang",2,,"N",,"RedupPL","jagoce","person",,,,,,
"orang",3,,"N",,"RedupPL",,"vassal",,,,,,
"orang",4,,"N",,"RedupPL",,"subordinate",,,,,,
"orang",5,,"N",,"RedupPL",,"person belonging to a group",,,,,,
"pada",1,,"P",,,,"at, on",,,,,,
"pada",2,,"P",,,,"with (a person)",,,,,,
"pada",3,,"P",,,,"in (duration)",,,,,,
"pada",4,,"AV",,,,"all",,,,,,
"pada",5,,"AN",,,,"adequate, enough",,,,,,
"pada",6,,"AN",,,,"satisfied",,,,,,
"pak",1,,"N",,,,"sir",,,,,,
"para",1,,"D",,,"hanona","several",,,,,,
"pasti",,,,,,,,,,,,,
"percaya",,,,,,,,,,,,,
"pergi",1,,"V",,"#ke",,"go",,,,,,
"perlu",,,,,,,,,,,,,
"pernah",,,,,,,,,,,,,
"pertama",,,,,,,,,,,,,
"pikir",,,,,,,,,,,,,
"pohon",,,"N",,,"tiliva ",,,,,,,
"polisi",,,,,,,,,,,,,
"pria",,,,,,,,,,,,,
"pulang",1,,"V",,,,"go back",,,,,,
"pulang",2,,"V",,,,"go back home",,,,,,
"pun",,,,,,,,,,,,,
"punya",,,,,,,,,,,,,
"putih",,,"AN",,,"qokaza ",,,,,,,
"ranjang",,,"N",,,"dufiqa ",,,,,,,
"rumah",1,,"N",,,,"house",,,,,,
"rumah",2,,"N",,,,"home",,,,,,
"saat",,,,,,,,,,,,,
"saja",1,,"AV",,,,"also, as well",,,,,,
"saja",2,,"AV",,,,"merely",,,,,,
"saja",3,,"AV",,,,"exclusively",,,,,,
"saja",4,,"AV",,,,"always",,,,,,
"sakit",,,,,,,,,,,,,
"salah",,,,,,,,,,,,,
"sama",,,,,,,,,,,,,
"sampai",,,,,,,,,,,,,
"sana",,,"AV",,,,"there",,,,,,
"sangat",,,,,,,,,,,,,
"satu",,,"Num",,,,,,,,,,
"saya",,,"Pro",,"Polite","lukayu",,,,,,,
"sayang",,,,,,,,,,,,,
"sebagai",,,,,,,,,,,,,
"sebelum",,,,,,,,,,,,,
"sebenarnya",,,,,,,,,,,,,
"sebuah",,,,,,,,,,,,,
"sedang",,,,,,,,,,,,,
"sedikit",,,,,,,,,,,,,
"segera",,,,,,,,,,,,,
"sekali",,,,,,,,,,,,,
"sekarang",,,,,,,,,,,,,
"selada",,,"N",,,"zagari ",,,,,,,
"selalu",,,,,,,,,,,,,
"selama",,,,,,,,,,,,,
"selamat",,,,,,,,,,,,,
"semua",,,,,,,,,,,,,
"semuanya",,,,,,,,,,,,,
"senang",,,,,,,,,,,,,
"sendiri",,,,,,,,,,,,,
"seorang",,,,,,,,,,,,,
"seperti",,,,,,,,,,,,,
"seseorang",,,,,,,,,,,,,
"sesuatu",,,,,,,,,,,,,
"setelah",,,,,,,,,,,,,
"setiap",,,,,,,,,,,,,
"siap",,,,,,,,,,,,,
"siapa",,,,,,,,,,,,,
"sini",,,,,,,,,,,,,
"sudah",,,,,,,,,,,,,
"suka",,,"V",,,,,,,,,,
"tahu",,,"VT",,,"qipifi ",,,,,,,
"tahun",,,,,,,,,,,,,
"tak",,,,,,,,,,,,,
"takkan",,,,,,,,,,,,,
"tangan",,,"N",,,"tehihi",,,,,,,
"tanpa",,,,,,,,,,,,,
"tapi",,,,,,,,,,,,,
"tawon",,,"N",,,"zayami ",,,,,,,
"telah",,,,,,,,,,,,,
"teman",,,,,,,,,,,,,
"tempat",,,,,,,,,,,,,
"tempat tidur",,,"N",,,"dufiqa ",,,,,,,
"tentang",1,,"P",,,,"about, regarding",,,,,,
"tentang",2,,"P",,,,"with regard to",,,,,,
"tentu",,,,,,,,,,,,,
"terima",,,,,,,,,,,,,
"terjadi",,,,,,,,,,,,,
"terlalu",,,,,,,,,,,,,
"terus",,,,,,,,,,,,,
"tetap",,,,,,,,,,,,,
"tidak",,,"Polarity",,,,,,,,,,
"tidur",1,,"N",,,,"sleep",,,,,,
"tidur",2,,"N",,,,"lie down",,,,,,
"tidur",3,,"N",,,,"inactive, off",,,,,,
"tinggal",,,,,,,,,,,,,
"tolong",,,,,,,,,,,,,
"tuan",,,,,,,,,,,,,
"tuhan",,,,,,,,,,,,,
"tunggu",,,,,,,,,,,,,
"tungku",,,"N",,,"tagowu ",,,,,,,
"uang",,,"N",,,,"money",,,,,,
"ular",1,,"N",,,"kisudo ",,,,,,,
"untuk",1,,"P",,,,"for",,,,,,
"waktu",1,,"AV",,"Rel",,"when",,,,,,
"waktu",2,,"N",,,,"time (flow)",,,,,,
"waktu",3,,"N",,,,"time (quantity)",,,,,,
"waktu",4,,"N",,,,"time point (hour…)",,,,,,
"wanita",1,,"N",,,,"woman",,,,,,
"warna",1,,"N",,,"piyiwu",,,,,,,
"ya",1,,"Intj",,,,"(agreement)",,,,,,
"ya",2,,"Intj",,,,"(acceptance)",,,,,,
"yah",,,,,,,,,,,,,
"yakin",,,,,,,,,,,,,
"yang",,,"Prt",,,,,,,,,,
"yeah",,,,,,,,,,,,,
"yg",,,,,,,,,,,,,
"yoghurt",,,"N",,,"cufogo ",,,,,,,
