"Lemma","Lemma Simplified","Discriminator","Pinyin","Pinyin Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological","notes"
"喜歡 ","喜欢 ",,"xǐhuān ",,,"V",,,,,,,,,,,
"單位 ","单位 ",,"dānwèi ",,,,,,,,,,,,,,
"嗎 ","吗 ",,"mā ",,,,,,,,,,,,,,
"四 ","四 ",,"sì ",,,"D",,,,,,,,,,,
"因 ","因 ",,"yīn ",,,"Conj",,,,,,,,,,,
"因此 ","因此 ",,"yīncǐ ",,,"Conj",,,,,,,,,,,
"因為","因为",1,"yīnwèi",1,,"Conj",,,,"because, for, on account of ",,,,,,,
"國內 ","国内 ",,"guónèi ",,,,,,,,,,,,,,
"國家 ","国家 ",,"guójiā ",,,,,,,,,,,,,,
"國際 ","国际 ",,"guójì ",,,,,,,,,,,,,,
"在","在",1,"zài",1,,"V",,,"civetu",,,,,,,,
"地 ","地 ",,"dì ",,,"N",,,,,,,,,,,
"地區 ","地区 ",,"dìqū ",,,,,,,,,,,,,,
"地方 ","地方 ",,"dìfāng ",,,,,,,,,,,,,,
"多 ","多 ",,"duō ",,,,,,,,,,,,,,
"多面體",,,,,,"N",,,"gakujo",,,,,,,,
"大","大",1,"dà",1,,,,,,,,,,,,,
"大學 ","大学 ",,"dàxué ",,,,,,,,,,,,,,
"大家 ","大家 ",,"dàjiā ",,,,,,,,,,,,,,
"大陸 ","大陆 ",,"dàlù ",,,"N",,,,,,,,,,,
"天 ","天 ",,"tiān ",,,"N",,,,,,,,,,,
"太 ","太 ",,"tài ",,,,,,,,,,,,,,
"她","她",1,"tā",,,"PRO",,,,,,,,,,,
"好","好",1,"hǎo",1,,"AN",,,,,,,,,,,
"如 ","如 ",,"rú ",,,,,,,,,,,,,,
"如何 ","如何 ",,"rúhé ",,,,,,,,,,,,,,
"如果 ","如果 ",,"rúguǒ ",,,"Conj",,,,,,,,,,,
"孩子 ","孩子 ",,"háizi ",,,,,,,,,,,,,,
"學校 ","学校 ",,"xuéxiào ",,,,,,,,,,,,,,
"學生 ","学生 ",,"xuéshēng ",,,,,,,,,,,,,,
"它","它",1,"tā",,,"PRO",,,,,,,,,,,
"家 ","家 ",,"jiā ",,,,,,,,,,,,,,
"將","将",1,"jiāng",1,,,,,,,,,,,,,
"將","将",2,"jiāng",2,,,,,"joveyo",,,,,,,,
"對","对",1,"duì",1,,,,,,"correct, true",,,,,,,
"對","对",2,"duì",2,,"V",,,,"towards",,,,,,,
"對 ","对 ",,"duì ",,,,,,,,,,,,,,
"對於 ","对于 ",,"duìyú ",,,,,,,,,,,,,,
"小 ","小 ",,"xiǎo ",,,"AN",,,,,,,,,,,
"就","就",1,"jiù",1,,,,,,,,,,,,,
"尾","尾",1,"wěi",,,,,,"fuvika","tail",,,,,,,
"尾","尾",2,"wěi",,,"CL",,,,,,,,,,,
"尾","尾",3,"wěi",,,,,,,"remnant, remainder",,,,,,,
"工作 ","工作 ",,"gōngzuò ",,,"N",,,,,,,,,,,
"已","已",1,"yǐ",1,,,,,"covadi",,,,,,,,
"已經 ","已经 ",,"yǐjīng ",,,,,,,,,,,,,,
"市場 ","市场 ",,"shìchǎng ",,,,,,,,,,,,,,
