"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"ch-",,,"PF",,"D-concord C7 SG",,,,,,,,
"ch-",,,"PF",,"NC PreV₂ C7 SG ",,,,,,,,
"chake",,,,,,,,,,,,,
"chakula",,,,,,,,,,,,,
"chama",,,,,,,,,,,,,
"chanikiwiti",,,,,,"ralija ",,,,,,,
"chati",,,,,,,,,,,,,
"cheo",,,,,,,,,,,,,
"China",,,,,,,,,,,,,
"chini ya",,,"P",,,,"under, below",,,,,,
"chuo",,,,,,,,,,,,,
"dalili",,,,,,,,,,,,,
"damu",,,,,,,,,,,,,
"dawa",,,,,,,,,,,,,
"Desemba",,,,,,,,,,,,,
"dhidi",,,,,,,,,,,,,
"dini",,,,,,,,,,,,,
"dodo",,,"N",,"C5","vuniri ",,,,,,,
"dubu",,,"N",,"C5","bajasu ",,,,,,,
"dunia",,,,,,,,,,,,,
"Dunia",,,,,,,,,,,,,
"duniani",,,,,,,,,,,,,
"elimu",,,,,,,,,,,,,
"eneo",,,"N",,"C5",,"area, domain, zone, territory",,,,,,
"eneo matini",,,"N",,"C5",,"text area",,,,,,
"eusi",,,,,,"nosune ",,,,,,,
"familia",,,,,,,,,,,,,
"farasi",,,"N",,"C9","qibawe ",,,,,,,
"filamu",,,,,,,,,,,,,
"fisi",,,"N",,"C9","nulofa ",,,,,,,
"fulani",,,,,,,,,,,,,
"gazeti",,,,,,,,,,,,,
"habari",,,,,,,,,,,,,
"hadi",,,"P",,,,"until, up to",,,,,,
"haki",1,,"N",,"C9",,"justice",,,,,,
"haki",2,,"N",,"C9",,"riight",,,,,,
"haki",3,,"N",,"C9",,"fairness",,,,,,
"hakuna",,,,,,,,,,,,,
"halafu",,,,,,,,,,,,,
"hali",1,,"N",,"C9",,"situation",,,,,,
"hali",2,,"N",,"C9",,"state, condition",,,,,,
"halisi",1,,"AN",,,,"exact, accurate",,,,,,
"halisi",2,,"AN",,,,"genuine, true",,,,,,
"haraka",1,,"AV",,,,"fast, swiftly",,,,,,
"hasa",1,,"AV",,,,"exactly",,,,,,
"hasa",2,,"AV",,,,"especially",,,,,,
"hasa",3,,"AV",,,,"wholly",,,,,,
"hata",,,,,,,,,,,,,
"hatari",,,"N",,"C9",,"danger",,,,,,
"hatua",,,,,,,,,,,,,
"haya",,,,,,,,,,,,,
"hayo",,,,,,,,,,,,,
"hewa",,,,,,,,,,,,,
"hicho",,,,,,,,,,,,,
"hii",,,,,,,,,,,,,
"hiki",,,,,,,,,,,,,
"hili",,,,,,,,,,,,,
"hilo",,,,,,,,,,,,,
"Hispania",,,,,,,,,,,,,
"historia",,,,,,,,,,,,,
"hivi",,,,,,,,,,,,,
"hivyo",,,,,,,,,,,,,
"hiyo",,,,,,,,,,,,,
"hizi",,,,,,,,,,,,,
"hizo",,,,,,,,,,,,,
"huduma",,,,,,,,,,,,,
"huitwa",,,,,,,,,,,,,
"huko",,,,,,,,,,,,,
"huku",,,,,,,,,,,,,
"huo",,,,,,,,,,,,,
"huru",,,,,,,,,,,,,
"hutumia",,,,,,,,,,,,,
"hutumika",,,,,,,,,,,,,
"huu",,,,,,,,,,,,,
"huwa",,,,,,,,,,,,,
"idadi",,,,,,,,,,,,,
"Idadi",,,,,,,,,,,,,
"ikiwa",,,,,,,,,,,,,
"iko",,,,,,,,,,,,,
"ile",,,,,,,,,,,,,
"ili",,,"Conj",,,,"in order that, so that",,,,,,
"imani",,,,,,,,,,,,,
"ina",,,,,,,,,,,,,
"inaweza",,,,,,,,,,,,,
"ingawa",,,,,,,,,,,,,
"ishi",,,"V",,,"yogije ",,,,,,,
"Italia",,,,,,,,,,,,,
"j-",,,"PF",,"NC PreV₂ C5 SG",,,,,,,,
"jambo",,,"N",,"C5",,"matter, affair, incident",,,,,,
"jamii",,,,,,,,,,,,,
"Januari",,,,,,,,,,,,,
"jeshi",,,,,,,,,,,,,
"ji-",,,"PF",,"NC PreC C5 SG",,,,,,,,
"ji-",,,"PF",,"NC PreV₁ C5 SG",,,,,,,,
"jimbo",,,,,,,,,,,,,
"jina",1,,"N",,"C5",,"name",,,,,,
"jina",2,,"N",,"C5",,"noun",,,,,,
"jinsi",,,,,,,,,,,,,
"joto",,,"N",,"C9",,"heat",,,,,,
"jua",1,,"N",,"C5",,"sun",,,,,,
"jua",2,,"N",,"C5",,"sunshine",,,,,,
"jumla",,,,,,,,,,,,,
"juu",1,,"P",,,,"above",,,,,,
"juu",2,,"P",,,,"on",,,,,,
"juu",3,,"N",,"C9",,"top",,,,,,
"k-",,,"PF",,"NC PreV₁ C7 SG",,,,,,,,
"kabisa",,,,,,,,,,,,,
"kabla",,,,,,,,,,,,,
"kadhaa",,,,,,,,,,,,,
"kale",,,,,,,,,,,,,
"kali",,,,,,,,,,,,,
"kama",1,,"P",,,,"as, like, such as",,,,,,
"kama",2,,"P",,,,"if, whether",,,,,,
"kama",3,,"P",,,,"about",,,,,,
"kamili",,,,,,,,,,,,,
"kampuni",,,,,,,,,,,,,
"kando",,,,,,,,,,,,,
"kanisa",,,,,,,,,,,,,
"kanuni",,,,,,,,,,,,,
"karibu",1,,"Intj",,,,"come in, welcome!",,,,,,
"karibu",2,,"AV",,,,"nearby",,,,,,
"karibu",3,,"AV",,,,"soon",,,,,,
"karne",,,,,,,,,,,,,
"kaskazini",,,,,,,,,,,,,
"Kaskazini",,,,,,,,,,,,,
"kati",1,,"N",,"C9",,"middle",,,,,,
"kati",2,,"AV P",,,,"in the middle, among, between",,,,,,
"katika",1,,"P",,,,"in",,,,,,
"katika",2,,"P",,,,"on, upon",,,,,,
"katika",3,,"P",,,,"out of",,,,,,
"katika",4,,"P",,,,"off",,,,,,
"katika",5,,"P",,,,"among",,,,,,
"katika",6,,"P",,,,"in the middle of being/doing",,,,,,
"katikati",1,,"N",,"C9",,"middle",,,,,,
"katikati",2,,"AV P",,,,"in the middle, among, between",,,,,,
"kawaida",,,"AN",,,,"usual",,,,,,
"kazi",,,"N",,"C9",,"job, work",,,,,,
"Kenya",,,,,,,,,,,,,
"ki-",,,"PF",,"NC PreC C7 SG ",,,,,,,,
"kiasi",,,,,,,,,,,,,
"kidogo",,,,,,,,,,,,,
"kifo",,,,,,,,,,,,,
"Kiingereza",,,,,,,,,,,,,
"kijamii",,,,,,,,,,,,,
"kijani",,,,,,"ralija ",,,,,,,
"kijeshi",,,,,,,,,,,,,
"kikubwa",,,,,,,,,,,,,
"Kikuu",,,,,,,,,,,,,
"kikuu",,,,,,,,,,,,,
"kila",,,"D",,,,"each, every, all",,,,,,
"kilimo",,,,,,,,,,,,,
"kilomita",,,,,,,,,,,,,
"kimataifa",,,,,,,,,,,,,
"kina",,,"Prt",,,"gezogi",,,,,,,
"kina",,,,,,,,,,,,,
"kiongozi",,,,,,,,,,,,,
"kipindi",,,,,,,,,,,,,
"kisasa",,,,,,,,,,,,,
"kisha",,,,,,,,,,,,,
"kisiasa",,,,,,,,,,,,,
"kisiwa",,,,,,,,,,,,,
"Kiswahili",,,,,,,,,,,,,
"kitabu",,,,,,,,,,,,,
"kitaifa",,,,,,,,,,,,,
"kitanda",,,"N",,"C7","dufiqa ",,,,,,,
"kiti",,,"N",,"C7","zunoko ",,,,,,,
"kituo",,,,,,,,,,,,,
"kiuchumi",,,,,,,,,,,,,
"kiwango",,,,,,,,,,,,,
"klabu",,,,,,,,,,,,,
"koloni",,,,,,,,,,,,,
"kompyuta",,,"N",,"C9","futeyu ",,,,,,,
"kote",,,,,,,,,,,,,
"ku-",,,"PF",,"INF",,,,,,,,
"ku-",,,"PF",,"NC PreC C14 PL",,,,,,,,
"ku-",,,"PF",,"NC PreV₁ C14 PL",,,,,,,,
"kuanza",,,,,,,,,,,,,
"kuanzia",,,,,,,,,,,,,
"kubwa",,,"AN",,,,"big, large",,,,,,
"kufikia",,,,,,,,,,,,,
"kuhusu",,,,,,,,,,,,,
"kuingia",,,,,,,,,,,,,
"kuishi",,,,,,,,,,,,,
"kujenga",,,,,,,,,,,,,
"kujua",,,"V",,"DO","qipifi ",,,,,,,
"kuliko",,,,,,,,,,,,,
"kulingana",,,,,,,,,,,,,
"kumi",,,"Num",,,"piname ",,,,,,,
"kuna",,,"V",,"Presentational",,"there is/are",,,,,,
"kuna njaa",,,"V",,,"borovi ",,,,,,,
"kunakuwa",,,"V",,"Presentational",,"there is/are",,,,,,
"kundi",,,,,,,,,,,,,
"kuongeza",,,,,,,,,,,,,
"kupata",,,,,,,,,,,,,
"kupitia",,,,,,,,,,,,,
"kupunguza",,,,,,,,,,,,,
"kura",,,"N",,"C9",,"destiny, fate",,,,,,
"kura",,,"N",,"C9",,"chance",,,,,,
"kusababisha",,,,,,,,,,,,,
"kusini",,,,,,,,,,,,,
"Kusini",,,,,,,,,,,,,
"kutokana",,,,,,,,,,,,,
"kutumia",,,,,,,,,,,,,
"kutumika",,,,,,,,,,,,,
"kuwa",,,,"★",,,,,,,,,
"kw-",,,"PF",,"D-concord C15",,,,,,,,
"kw-",,,"PF",,"NC PreV₂ C14 PL",,,,,,,,
"kwa",,,"P",,,,,,,,,,
"kwa haraka",1,,"AV",,,,"hurriedly",,,,,,
"kwa sababu",1,,"Conj",,,,"because",,,,,,
"kwamba",,,"Subr",,"Content-clause",,,,,,,,
"kwapa",1,,"N",,"C5","pehonu ",,,,,,,
"kwenye",,,"P",,,,"to, towards",,,,,,
"l-",,,"PF",,"D-concord C5 SG",,,,,,,,
"lakini",,,"Coo",,,,"but",,,,,,
"lazima",,,,,,,,,,,,,
"leo",1,,"N",,"C9",,"now",,,,,,
"leo",2,,"N",,"C9",,"today",,,,,,
"leo asubuhi",1,,"N",,"C9",,"this morning",,,,,,
"lina",,,,,,,,,,,,,
"lugha",1,,"N",,"C9","lasofe ","language",,,,,,
"m",,,,,,,,,,,,,
"m-",,,"PF",,"NC PreC C1 SG",,,,,,,,
"m-",,,"PF",,"NC PreC C3 SG",,,,,,,,
"m-",,,"PF",,"NC Prelabial C9",,,,,,,,
"ma-",,,"PF",,"NC C5 PL",,,,,,,,
"maalum",1,,"AN",,,,"famous, esteemed",,,,,,
"maalum",2,,"AV",,,,"certainly, definitely",,,,,,
