Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
bıyık,,,N,,,boqade ,,,,,,,
bıçak,,,N,,,kuqonu ,,,,,,,
bıçak,,,N,,,pamizi ,,,,,,,
cacık,,,N,,,zurami ,,,,,,,
cam,,,N,,,yoyoba ,,,,,,,
canlı,,,AN,,,kubudi ,,,,,,,
cerrah,,,N,,,godaci ,,,,,,,
coğrafya,,,N,,,qepase ,,,,,,,
cuma,,,N,,,rasule ,,,,,,,
cumartesi,,,N,,,budala ,,,,,,,
cıva,,,N,,,hagodu ,,,,,,,
daktilo,,,N,,,ticoke ,,,,,,,
dal,,,N,,,tisoke ,,,,,,,
dal,,,VI,,,guqita ,,,,,,,
davranışsal bilim,,,N,,,kiqoto ,,,,,,,
dağ,,,N,,,pobufe ,,,,,,,
delfin,,,N,,,defuyi ,,,,,,,
demir,,,N,,,saneka ,,,,,,,
derin,,,AN,,,gayoso ,,,,,,,
değ,,,VI_a,,,yazomi ,,,,,,,
dil,,,N,,,lasofe ,,,,,,,
dil ailesi,,,N,,,kimini ,,,,,,,
dilbilim,,,N,,,pemenu ,,,,,,,
dingil,,,N,,,gonowo ,,,,,,,
diri,,,AN,,,kubudi ,,,,,,,
dizüstü,,,N,,,jowaya ,,,,,,,
diş,,,N,,,yapahi ,,,,,,,
dişeti,,,N,,,zafidu ,,,,,,,
dişli,,,N,,,vukahe ,,,,,,,
dokuz,,,AN,,,jujiko ,,,,,,,
dolma,,,N,,,lavemo ,,,,,,,
domates,,,N,,,seruwi ,,,,,,,
domuz,,,N,,,bogiri ,,,,,,,
dondurucu,,,N,,,cezibi ,,,,,,,
doğru,,,N,,,laziwa ,,,,,,,
döner,,,N,,,mipobu ,,,,,,,
dördey,,,N,,,quvehi ,,,,,,,
dört,,,AN,,,kaseti ,,,,,,,
döv,,,VT,,,bunofi ,,,,,,,
düdük,,,N,,,vejonu ,,,,,,,
dün,,,N,,,zotofi ,,,,,,,
düzlem,,,N,,,samuba ,,,,,,,
düğme,,,N,,,pujuho ,,,,,,,
düş,,,N,,,vujoba ,,,,,,,
dışkıla,,,VT,,,tuqezo ,,,,,,,
ekmek,,,N,,,mawofe ,,,,,,,
ekmek,,,N,,,hiwofe ,,,,,,,
ekran,,,N,,,nazaqi ,,,,,,,
el,,,N,,,tehihi ,,,,,,,
eldiven,,,N,,,jisofa ,,,,,,,
elektron,,,N,,,yahaze ,,,,,,,
elma,,,N,,,nahala ,,,,,,,
elmas,,,N,,,qeyuwi ,,,,,,,
endoskop,,,N,,,vetepu ,,,,,,,
enzim,,,N,,,lawigu ,,,,,,,
