"Lemma","Discriminator","Pronunciation","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"rêver",,,,"V",,"DO","kahabi ",,,,,,,
"sabot",,,,"N",,"M","zodaru ",,,,,,,
"sac de couchage",,,,"N",,"M","resiti ",,,,,,,
"sac poubelle",,,,"N",,"M","goniyi ",,,,,,,
"saisir",1,,,"V",,"DO","vahati ",,,,,,,
"saliver",,,,"V",,,"wilece ",,,,,,,
"saluer",,,,"V",,"DO","cabuvi ",,,,,,,
"salut",,,,"INTJ",,,"yuliwe ",,,,,,,
"samedi",,,,"N",,"M","budala ",,,,,,,
"sang",,,,"N",,"M","gefore ",,,,,,,
"sanglier",,,,"N",,"M","higufa ",,,,,,,
"sauvage",,,,"AN",,,"vinuju ",,,,,,,
"savoir",,,,"V",,"DO","qipifi ",,,,,,,
"savon",,,,"N",,"M","capivu ",,,,,,,
"sceau",,,,"N",,"M","nedamo ",,,,,,,
"scie",,,,"N",,"F","sumesi ",,,,,,,
"sciseaux",,,,"NMPL",,,"lesodi ",,,,,,,
"se rétablir",,,,"VRefl",,,"haloho ",,,,,,,
"sein",,,,"N",,"M","vuniri ",,,,,,,
"semelle",,,,"N",,"F","wajecu ",,,,,,,
"seringue",,,,"N",,"F","wojede ",,,,,,,
"serpent",,,,"N",,"M","kisudo ",,,,,,,
"serre",,,,"N",,"F","wezane ",,,,,,,
"serviette",,,,"N",,"F","peyesi ",,,,,,,
"seul",,,,"AN",,,"ziyewo ",,,,,,,
"siffler",,,,"V",,"DO","meruku ",,,,,,,
"similaire",,,,"AN",,"à","nepuqa ",,,,,,,
"sinus",,,,"N",,"M","vopuce ",,,,,,,
"smartphone",,,,"N",,"M","punoye ",,,,,,,
"société",,,,"N",,"F","maropa ",,,,,,,
"sol",,,,"N",,"M","gunefe ",,,,,,,
"solstice d’été",,,,"N",,"M","bakuta ",,,,,,,
"son",,,,"N",,"M","zuqapi ",,,,,,,
"soupe",,,,"N",,"F","wecuha ",,,,,,,
"sourcil",,,,"N",,"M","zilari ",,,,,,,
"souris",1,,,"N",,"F","mafawe ",,,,,,,
"souris",2,,,"N",,"F","heqaba ",,,,,,,
"squelette",,,,"N",,"M","gelaki ",,,,,,,
"structure",,,,"N",,"F","yimipe ",,,,,,,
"suer",,,,"V",,"DO","zimazi ",,,,,,,
"suggérer",,,,"V",,"DO à","neqima ",,,,,,,
"surface",,,,"N",,"of","wayaze 21",,,,,,,
"surface",,,,"N",,"F","zidilo ",,,,,,,
"surpasser",,,,"V",,"DO en","limege ",,,,,,,
"survivre",,,,"V",,"à","sunoqi ",,,,,,,
"système",,,,"N",,"M","quwomu ",,,,,,,
"système nerveux",,,,"N",,"M","kahamo ",,,,,,,
"système vasculaire",,,,"N",,"M","calosu ",,,,,,,
"sève",,,,"N",,"F","mucume ",,,,,,,
"sœur",,,,"N",,"F de","lirevu ",,,,,,,
"s’occuper",,,,"VRefl",,"de!","keyepe ",,,,,,,
"s’évaporer",,,,"VRefl",,,"yegali ",,,,,,,
"table",,,,"N",,"F","yohaye ",,,,,,,
"taille-crayon",,,,"N",,"M","zozuli ",,,,,,,
"tambour",,,,"N",,"M","bohute ",,,,,,,
"tank",,,,"N",,"M","koyala ",,,,,,,
"tapis",,,,"N",,"M","vovodo ",,,,,,,
"tarte",,,,"N",,"F","nebido ",,,,,,,
"tendon",,,,"N",,"M","fapoti ",,,,,,,
"tenir compagnie",,,,"V",,"à","bitewu ",,,,,,,
"tentacule",,,,"N",,"F","regara ",,,,,,,
"tente",,,,"N",,"F","fuyaki ",,,,,,,
"tenter",,,,"VT|VI",,"de+INF","dubanu ",,,,,,,
"testicule",,,,"N",,"M","lonuma ",,,,,,,
"thermomètre",,,,"N",,"M","kituji ",,,,,,,
"thorax",,,,"N",,"M","jucewu ",,,,,,,
"tigre",,,,"N",,"M","regiya ",,,,,,,
"tipi",,,,"N",,"M","yivubu ",,,,,,,
"tiroire",,,,"N",,"M","lumayu ",,,,,,,
"tomate",,,,"N",,"F","seruwi ",,,,,,,
"tomatier",,,,"N",,"M","yodava ",,,,,,,
"torse",,,,"N",,"M","lukaso ",,,,,,,
"touche",,,,"N",,"F","wotare ",,,,,,,
"tournevis",,,,"N",,"M","cowova ",,,,,,,
"trachée",,,,"N",,"F","kacufe ",,,,,,,
"train",,,,"N",,"M","tewesa ",,,,,,,
"tricoter",,,,"V",,"DO","zelipu ",,,,,,,
"tricycle",,,,"N",,"M","nocawu ",,,,,,,
"trompette",,,,"N",,"F","getupa ",,,,,,,
"tronçonneuse",,,,"N",,"F","sogofa ",,,,,,,
"truelle",,,,"N",,"F","tazoba ",,,,,,,
"tsunami",,,,"N",,"M","bifune ",,,,,,,
"tubercule",,,,"N",,"M","fucono ",,,,,,,
"tube",2,,,"N",,,"juboru ",,,,,,,
"tuer",,,,"V",,"DO","zicede ",,,,,,,
"télé",,,,"N",,"F","tizehu ",,,,,,,
"télécommande",,,,"N",,"F","vijeda ",,,,,,,
"téléphone",,,,"N",,"M","bifedo ",,,,,,,
"téléphone",,,,"N",,"M","suzezo ",,,,,,,
"télévision",,,,"N",,"F","tizehu ",,,,,,,
"téton",,,,"N",,"M","fesoku ",,,,,,,
"tétraèdre",,,,"N",,"M","kibula ",,,,,,,
"tête",,,,"N",,"F","zejeti ",,,,,,,
"tête d’aïl",,,,"N",,"F","cubaqi ",,,,,,,
"uriner",,,,"V",,"DO","gobuvo ",,,,,,,
"user",,,,"V",,"DO","cozeda ",,,,,,,
"utérus",,,,"N",,"M","nuvoye ",,,,,,,
"vache",,,,"N",,"F","nivawa ",,,,,,,
"vagin",,,,"N",,"M","sitobi ",,,,,,,
"vaisseau sanguin",,,,"N",,"M","bivide ",,,,,,,
"vallée",,,,"N",,"F","rolani ",,,,,,,
"van",,,,"N",,"M","zisiqe ",,,,,,,
"veine",,,,"N",,"F","piwoda ",,,,,,,
"vendredi",,,,"N",,"M","rasule ",,,,,,,
"ventilateur",,,,"N",,"M","suhifu ",,,,,,,
"ventre",,,,"N",,"M","mataje ",,,,,,,
"ver",,,,"N",,"M","qocewe ",,,,,,,
"verre",1,,,"N",,"M","gudobu ",,,,,,,
"verre",2,,,"N",,"M","qeveva ",,,,,,,
"verre",3,,,"N",,"M","gapona ",,,,,,,
"verrou",,,,"N",,"M","fukugu ",,,,,,,
"vert",,,,"AN",,,"ralija ",,,,,,,
"vertèbre",,,,"N",,"F","wohohu ",,,,,,,
"vessie",,,,"N",,"F","viqima ",,,,,,,
"vibrisse",,,,"N",,"F","niruva ",,,,,,,
"vigne",,,,"N",,"F","filame ",,,,,,,
"vin",,,,"N",,"M","nenoda ",,,,,,,
"violon",,,,"N",,"M","zicela ",,,,,,,
"virus",,,,"N",,"M","nabupa ",,,,,,,
"vis",,,,"N",,"F","tibage ",,,,,,,
"visage",,,,"N",,"M","culuke ",,,,,,,
"viscères",,,,"NFPL",,,"yojufu ",,,,,,,
"visiter",,,,"V",,"DO","wacuda ",,,,,,,
"vivant",,,,"AN",,,"yogije ",,,,,,,
"vivre",,,,"V",,,"viyoho ",,,,,,,
"vivre",,,,"V",,,"yogije ",,,,,,,
"voir",1,,,"V",,"DO","zapiyo ",,,,,,,
"voiture",,,,"N",,"F","yolase ",,,,,,,
"volcan",,,,"N",,"M","hotuna ",,,,,,,
"voler",,,,"VI₁",,,"zeduyu ",,,,,,,
"volet",1,,,"N",,,"zijofu ",,,,,,,
"vomir",,,,"V",,"DO","gawobo ",,,,,,,
"vrai",,,,"AN",,,"tunabe ",,,,,,,
"vulve",,,,"N",,"F","terudi ",,,,,,,
"véhicule",,,,"N",,"M","tuhoyo ",,,,,,,
"vélo",,,,"N",,"M","vapewe ",,,,,,,
"vénérer",,,,"V",,"DO","bapalo ",,,,,,,
"vésicule bilière",,,,"N",,"F","fitura ",,,,,,,
"yaourt",,,,"N",,"M","cufogo ",,,,,,,
"yourte",,,,"N",,"F","yifune ",,,,,,,
"zeppelin",,,,"N",,"M","zeyeyu ",,,,,,,
"à nouveau",,,,"AV",,,"bawugi ",,,,,,,
"à propos de",,,,"P",,,"ruguhu ",,,,,,,
"âne",,,,"N",,"M","podaqa ",,,,,,,
"écaille",,,,"N",,"F","jihavo ",,,,,,,
"échelle",,,,"N",,"F","worino ",,,,,,,
"éclair",,,,"N",,"F","kalice ",,,,,,,
"écorce",,,,"N",,"F","gaziwa ",,,,,,,
"écran",,,,"N",,"M","nazaqi ",,,,,,,
"église",,,,"N",,"F","coweyi ",,,,,,,
"élever",,,,"V",,"DO","bimego ",,,,,,,
"élytre",,,,"N",,"M","wosive ",,,,,,,
"éléphant",,,,"N",,"M","berape ",,,,,,,
"éolienne",,,,"N",,"F","navufi ",,,,,,,
"épaule",,,,"N",,"F","mibuyi ",,,,,,,
"épine",,,,"N",,"F","qewapi ",,,,,,,
"épée",,,,"N",,"F","watuta ",,,,,,,
"équidé",,,,"N",,"M","keqiza ",,,,,,,
"équipe",,,,"N",,"F","redeke ",,,,,,,
"érable",,,,"N",,"M","futabi ",,,,,,,
"éroder",,,,"V",,"DO","cozeda ",,,,,,,
"état",2,,,"N",,"M","guneme ",,,,,,,
"éteint",,,,"AN",,,"sowoma ",,,,,,,
"éternuer",,,,"V",,,"yobezi ",,,,,,,
"étoile",,,,"N",,"F","nazoce ",,,,,,,
"étudiant",,,,"N",,"M","tasiqa ",,,,,,,
"étudier",,,,"V",,"DO","buwabo ",,,,,,,
"éveillé",,,,"AN",,,"rewoma ",,,,,,,
"évent",,,,"N",,"M","jizudi ",,,,,,,
"être en lactation",,,,"V",,,"sikapu ",,,,,,,
"être humain",,,,"N",,"M","wayami ",,,,,,,
"être humain",,,,"N",,"M","powoko ",,,,,,,
"île",,,,"N",,"F","pupima ",,,,,,,
"œuf",,,,"N",,"M","fuqilo ",,,,,,,
"œuil",,,,"N",,"M","jovonu ",,,,,,,
