"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"esto",,,"D",,,,,,,,,,
"estrella",,,"N",,"F","nazoce ",,,,,,,
"estufa",,,"N",,"F","tagowu ",,,,,,,
"faenar",3,,"V",,"DO","legayi ",,,,,,,
"fals-",,,"AN",,,"maruhe ",,,,,,,
"familia",,,"N",,"F",,,,,,,,
"favor",,,"N",,"F",,,,,,,,
"feliz",,,"AN","NullMasc",,,,,,,,,
"fin",,,"N",,,,,,,,,,
"fuente",,,"N",,"F","busiba ",,,,,,,
"fuera",,,,,,,,,,,,,
"gafas",,,"NFPL",,,"zivumo ",,,,,,,
"gato",,,"N",,"M","fufuki ",,,,,,,
"gente",,,"N",,"F",,,,,,,,
"gracias",,,"Intj",,,,,,,,,,
"gris",,,"AN","NullMasc",,"kukihu ",,,,,,,
"hablar",,,"V",,,,,,,,,,
"hacer",,,"V",,,,,,,,,,
"hasta",,,"P",,,,,,,,,,
"hay",,,"V","★",,,,,,,,,
"hecho",,,"N",,"M",,,,,,,,
"hiena",,,"N",,"F","nulofa ",,,,,,,
"hierba",,,"N",,"F","sosudi ",,,,,,,
"hijo",,,"N",,"M",,,,,,,,
"historia",,,"N",,"F",,,,,,,,
"hoja",,,"N",,"F","zozawe ",,,,,,,
"hola",,,"INTJ",,,"yuliwe ",,,,,,,
"hombre",,,"N",,"M",,,,,,,,
"hora",,,"N",,"F",,,,,,,,
"hormiga",,,"N",,"F","yawifa ",,,,,,,
"hoy",,,"AV",,,"pulogi ",,,,,,,
"hueso",1,,"N",,"M","hobewe ",,,,,,,
"hueso",2,,"N",,"M","tamoya ",,,,,,,
"huevo",,,"N",,"M","fuqilo ",,,,,,,
"idea",,,"N",,"F",,,,,,,,
"importante",,,"AN",,,,,,,,,,
"ir",,,"V",,,,,,,,,,
"isla",,,"N",,"F","pupima ",,,,,,,
"jefe",,,"N",,,,,,,,,,
"judía",,,"N",,"F","lisahu ",,,,,,,
"judía verde",,,"N",,"F","lepile ",,,,,,,
"jueves",,,"N",,"M","fiberi ",,,,,,,
"la",1,,"D",,,,,,,,,,
"la",2,,"ObjPro",,"F",,,,,,,,
"ladrillo",,,"N",,"M","fayeru ",,,,,,,
"lago",,,"N",,"M","watanu ",,,,,,,
"le",,,"ObjPro",,"M",,,,,,,,
"lecho",,,"N",,"M","dufiqa ",,,,,,,
"lechuga",,,"N",,"F","yavove ",,,,,,,
"lechuga cultivada",,,"N",,"F","zagari ",,,,,,,
"lentes",,,"NMPL",,,"zivumo ",,,,,,,
"librería",,,"N",,"F","yiwajo ",,,,,,,
"libro",,,"N",,"M","vijutu ",,,,,,,
"luna",,,"N",,"F",,,,,,,,
"llama",,,"N",,"F","garahi ",,,,,,,
"llegar",,,"V",,"a",,,,,,,,
"lluvia",,,"N",,"F",,,,,,,,
"lo",,,"ObjPro",,,,,,,,,,
"lugar",,,"N",,"M",,,,,,,,
"lunes",,,"N",,"M","luzuhe ",,,,,,,
"madre",,,"N",,"F",,,,,,,,
"mal",,,"AN","NullMasc",,,,,,,,,
"mamá",,,,,,,,,,,,,
"manera",,,"N",,"F",,,,,,,,
"mañana",,,"N",,"F",,,,,,,,
"mano",,,"N",,"F","tehihi ",,,,,,,
"manzana",,,"N",,"F","nahala ",,,,,,,
"mariposa",,,"N",,"F","zalina ",,,,,,,
"martes",,,"N",,"M","qeyawe ",,,,,,,
"mas",,,,,,,,,,,,,
"más",,,"VMod",,,,,,,,,,
"matar",,,"V",,"DO","zicede ",,,,,,,
"me",,,"ObjPro",,,,,,,,,,
"mejor",,,"AN",,,,,,,,,,
"meza",,,"N",,"F","yohaye ",,,,,,,
"mi",,,"D","NullMasc",,,,,,,,,
"mí",,,"Pro",,,,,,,,,,
"miedo",,,"N",,"M",,,,,,,,
"miel",,,"N",,"F","wilawi ",,,,,,,
"miércoles",,,"N",,"M","jabeqi ",,,,,,,
"mierda",,,"N",,"F",,,,,,,,
"mierda",,,"Intj",,,,,,,,,,
"mirar",,,"V",,"DO","gebuze ",,,,,,,
"momento",,,"N",,"M",,,,,,,,
"montaña",,,"N",,"F","pobufe ",,,,,,,
"morado",,,"AN",,,"murolo ",,,,,,,
"morir",,,"V",,,,,,,,,,
"mosca",,,"N",,"F","zijiku ",,,,,,,
"mosquito",,,"N",,"M","ruziqo ",,,,,,,
"muert-",1,,"AN",,,"hutavu ",,,,,,,
"muert-",2,,"AN",,,"miqimi ",,,,,,,
"mujer",,,"N",,"F",,,,,,,,
"mundo",,,"N",,"M",,,,,,,,
"muy",,,"VMod",,,,,,,,,,
"nada",,,"Pro",,"Neg",,,,,,,,
"nadie",,,"Pro",,"Neg",,,,,,,,
"negro",,,"AN",,,"nosune ",,,,,,,
"ni",,,"Prt",,,,,,,,,,
"no",,,"POLAR",,,"maruhe ",,,,,,,
"noche",,,"N",,"F",,,,,,,,
"nombre",,,"N",,"M",,,,,,,,
"nos",,,"Pro",,,,,,,,,,
"nosotros",,,"Pro",,,,,,,,,,
"nube",,,"N",,"F",,,,,,,,
"nuestr-",,,"D",,,,,,,,,,
"nuev-",,,"AN",,,,,,,,,,
"nunca",,,"AV",,,,,,,,,,
"o",,,"COO",,,"zarowi ",,,,,,,
"oh",,,"Intj",,,,,,,,,,
"ojo",,,"N",,"M","jovonu ",,,,,,,
"oso",,,"N",,"M","bajasu ",,,,,,,
"otr-",,,"AN",,,,,,,,,,
"padre",,,"N",,"M",,,,,,,,
"país",,,"N",,"M","jitoke ",,,,,,,
"pala",,,"N",,"F","rapulu ",,,,,,,
"papa",,,"N",,"F","guluna ",,,,,,,
"papá",,,,,,,,,,,,,
"para",,,"P",,,,,,,,,,
"parecer",,,"V",,,,,,,,,,
"pasar",,,"V",,,,,,,,,,
"patata",,,"N",,"F","guluna ",,,,,,,
"pero",,,"COO",,,"buvune ",,,,,,,
"perro",,,"N",,"M","yobanu ",,,,,,,
"pescar",,,"V",,"DO","legayi ",,,,,,,
"piano",,,"N",,"M","pepiyi ",,,,,,,
"pie",,,"N",,"M","dalibe ",,,,,,,
"piedra",,,"N",,"F","huloma ",,,,,,,
"piel",,,"N",,"F","zowima ",,,,,,,
"planta",1,,"N",,"F","dayilu ",,,,,,,
"plátano",,,"N",,"M","niyiri ",,,,,,,
"playa",,,"N",,"F","hivode ",,,,,,,
