"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"beak",,,"N",,,"buqado ",,,,,,,
"bean",1,,"N",,,"lafimu ",,,,,,,
"bean",2,,"N",,,"lisahu ",,,,,,,
"bear",,,"N",,,"bajasu ",,,,,,,
"bear",,,"V",,"DO","diheqo ",,,,,,,
"beard",,,"N",,,"qimeri ",,,,,,,
"beat",,,"V",,"DO","bunofi ",,,,,,,
"beautiful",,,"AN",,,"wivulu ",,,,,,,
"because",,,"COO",,,,,,,,,,
"because of",,,"P",,,,,,,,,,
"bed",1,,"N",,,"dufiqa ",,,,,,,
"bed",2,,"N",,,"lewiwi ",,,,,,,
"bee",,,"N",,,"zayami ",,,,,,,
"bee smoker",,,"N",,,"hafowi ",,,,,,,
"beehive",,,"N",,,"cuhuse ",,,,,,,
"beekeeper",,,"N",,,"yokara ",,,,,,,
"beer",,,"N",,,"mupilo ",,,,,,,
"beeswax",,,"N",,"U ","zonoba ",,,,,,,
"before",,,"P",,,"kepipe ",,,,,,,
"beget",,,"V",,"DO","mamuvu ",,,,,,,
"begin",,,"V",,"to","zudeve ",,,,,,,
"begin",,,"V",,,"nobawe ",,,,,,,
"beginning",,,"N",,"of","kifoyo ",,,,,,,
"bellows",,,"N",,,"diwije ",,,,,,,
"belly",,,"N",,,"mataje ",,,,,,,
"belt",,,"N",,,"nojufe ",,,,,,,
"bench",,,"N",,,"mejoqu ",,,,,,,
"benefit",,,"V",,"DO","gudajo ",,,,,,,
"beryllium",,,"NU",,,"bediwe ",,,,,,,
"bet",,,"V",,"DO to+INF that","veculi ",,,,,,,
"betacoronavirus",,,"N",,,"fuwebu ",,,,,,,
"between",,,"PP",,,"howope ",,,,,,,
"bicycle",,,"N",,,"vapewe ",,,,,,,
"bike",,,"N",,,"vapewe ",,,,,,,
"bikini",,,"N",,,"guwipo ",,,,,,,
"bile",,,"NU",,,"napufe ",,,,,,,
"bipede",,,"N",,,"seqero ",,,,,,,
"bird",,,"N",,,"daliwe ",,,,,,,
"bite",,,"VT^pinch",,,"sewufu ",,,,,,,
"bitter",,,"AN",,,"qatazo ",,,,,,,
"bitter",,,"AN",,,"dawaji ",,,,,,,
"bizarre",,,"AN",,,"cavoyo ",,,,,,,
"black",,,"AN",,,"nosune ",,,,,,,
"black hole",,,"N",,,"wozobo ",,,,,,,
"blade",,,"N",,,"kuqonu ",,,,,,,
"blood",,,"N",,,"gefore ",,,,,,,
"bloom",,,"V",,,"meridu ",,,,,,,
"blowhole",,,"N",,,"jizudi ",,,,,,,
"blue",,,"AN",,,"jayina ",,,,,,,
"boat",,,"N",,,"hunate ",,,,,,,
"body",,,"N",,,"tezoze ",,,,,,,
"bomb",,,"N",,,"wovuyu ",,,,,,,
"bone",,,"N",,,"hobewe ",,,,,,,
"book",,,"N",,,"vijutu ",,,,,,,
"bookcase",,,"N",,,"yiwajo ",,,,,,,
"boomerang",,,"N",,,"gobuti ",,,,,,,
"bored",,,"AN",,,"vefelo ",,,,,,,
"boron",,,"NU",,,"cobewo ",,,,,,,
"bottle",,,"N",,,"pewuve ",,,,,,,
"bow",,,"N",,,"jopoca ",,,,,,,
"bowl",,,"N",,,"busiba ",,,,,,,
"box",,,"N",,,"meluyo ",,,,,,,
"boy",,,"N",,,"vevimi ",,,,,,,
"bra",,,"N",,,"qutaji ",,,,,,,
"branch",,,"N",,,"tisoke ",,,,,,,
"brass",,,"NU",,,"zisawi ",,,,,,,
"bread",,,"N",,,"mawofe ",,,,,,,
"bread",,,"N",,,"hiwofe ",,,,,,,
"breast",,,"N",,,"vuniri ",,,,,,,
"breeze-block",,,"N",,,"wafagu ",,,,,,,
"brick",,,"N",,,"fayeru ",,,,,,,
"bridge",,,"N",,,"zoviqa ",,,,,,,
"brie",,,"N",,,"niwafa ",,,,,,,
"bromine",,,"NU",,,"taniti ",,,,,,,
"bronze",,,"NU",,,"biyomo ",,,,,,,
"brother",,,"N",,"of","zohoye ",,,,,,,
"brown",,,"AN",,,"didizo ",,,,,,,
"brown dwarf",,,"N",,,"sazoyu ",,,,,,,
"bucket",,,"N",,,"nedamo ",,,,,,,
"build",,,"V",,"DO","boceri ",,,,,,,
"building",,,"N",,,"zomayi ",,,,,,,
"bunny",,,"N",,,"tagaze ",,,,,,,
"burn",,,"V",,,"kalubi ",,,,,,,
"burnt out",,,"AN",,,"higofo ",,,,,,,
"burrow",,,"V",,,"ciciti ",,,,,,,
"bus",,,"N",,,"rajola ",,,,,,,
"bus stop",,,"N",,,"wogovo ",,,,,,,
"busy",,,"AN",,,"movilo ",,,,,,,
"but",1,,"ADV",,,,,,,,,,
"but",2,,"COO",,,"buvune ",,,,,,,
